class id,filepaths,label,scientific name,Big Garden Bird Watch '22 Rank,BoCC5 Status,Source
5,.\birds\Robin(28).jpg,Robin,Erithacus rubecula,6,Green,https://www.publicdomainpictures.net/pictures/180000/velka/robin-erithacus-rubecula-1467826235xhp.jpg
18,.\birds\Wren(80).jpg,Wren,Troglodytes troglodytes,19,Amber,https://hertsinfocus.com/wp-content/uploads/2020/09/Wren.jpg
1,.\birds\BlueTit(135).jpg,Blue_Tit,Cyanistes caeruleus,2,Green,https://birdwatchingalentejo.com/wp-content/uploads/2017/07/Blue-Tit-1.jpg
18,.\birds\Wren(62).jpg,Wren,Troglodytes troglodytes,19,Amber,http://www.naturephoto-cz.com/photos/jbohdal/troglodyte-mignon-7_1008.jpg
8,.\birds\Magpie(9).jpg,Magpie,Pica pica,9,Green,https://img00.deviantart.net/db31/i/2009/289/e/1/pica_pica_by_tair_3s_lens_by_pagan_live_style.jpg
7,.\birds\Great_Tit(5).jpg,Great_Tit,Parus major,8,Green,http://fc04.deviantart.net/fs70/f/2012/032/f/e/parus_major_by_jmrocek-d4odvgt.jpg
2,.\birds\Starling(125).jpg,Starling,Sturnus vulgaris,3,Red,http://2.bp.blogspot.com/-kJhvK_lXA4M/UqwK65HYWEI/AAAAAAAAKO0/fxz27PsDHYg/s640/Starling.jpg
14,.\birds\Collared_Dove(35).jpg,Collared_Dove,Streptopelia decaocto,15,Green,http://www.biopix.dk/photos/tyrkerdue-jcs-streptopelia-decaocto-24135.jpg
14,.\birds\Collared_Dove(63).jpg,Collared_Dove,Streptopelia decaocto,15,Green,https://st3.depositphotos.com/2949325/16569/i/450/depositphotos_165694676-stock-photo-collared-dove-or-streptopelia-decaocto.jpg
11,.\birds\Dunnock(56).jpg,Dunnock,Prunella modularis,12,Amber,https://www.naturephoto-cz.com/photos/birds/prunella-modularis-200398.jpg
19,.\birds\Song_Thrush(55).jpg,Song_Thrush,Turdus philomelos,20,Amber,https://www.asturnatura.com/photo/_files/photogallery/t_3f0ec1060cc1bb0684d58489e5f4ee8e.jpg
4,.\birds\Blackbird(148).jpg,Blackbird,Turdus merula,5,Green,Camera trap
19,.\birds\Song_Thrush(100).jpg,Song_Thrush,Turdus philomelos,20,Amber,http://www.permuted.org.uk/photography/wp-content/uploads/2013/02/song_thrush_0202138905.jpg
10,.\birds\Chaffinch(112).jpg,Chaffinch,Fringilla coelebs,11,Green,https://2.bp.blogspot.com/-jDlrP_5VS84/UE4TpehHydI/AAAAAAAADJg/8tosOLvL-mA/s1600/Chaffinch.jpg
12,.\birds\Jackdaw(26).jpg,Jackdaw,Coloeus monedula,13,Green,https://albertozafferano.com/wordpress/wp-content/gallery/Natura/Uccelli/Taccola_eurasiatica_(Coloeus_monedula)/DSC900_010601.jpg
14,.\birds\Collared_Dove(145).jpg,Collared_Dove,Streptopelia decaocto,15,Green,Camera trap
6,.\birds\Goldfinch(55).jpg,Goldfinch,Carduelis carduelis,7,Green,https://www.birdinginportugal.com/images/bagallery/original/img_0034.jpg
4,.\birds\Blackbird(77).jpg,Blackbird,Turdus merula,5,Green,http://gallery.new-ecopsychology.org/photo/birds/blackbird_(turdus_merula).jpg
3,.\birds\Wood_Pigeon(117).jpg,Wood_Pigeon,Columba palumbus,4,Amber,https://live.staticflickr.com/65535/49663062917_68cfd09c30_b.jpg
9,.\birds\Long_Tailed_Tit(78).jpg,Long_Tailed_Tit,Aegithalos caudatus,10,Green,https://klub300.cz/galerie/image?view=image&amp;format=raw&amp;type=img&amp;id=487
9,.\birds\Long_Tailed_Tit(135).jpg,Long_Tailed_Tit,Aegithalos caudatus,10,Green,https://voice.gardenbird.co.uk/wp-content/uploads/2017/04/Long-tailed-tit-800x800.jpg
5,.\birds\Robin(7).jpg,Robin,Erithacus rubecula,6,Green,https://img2.juzaphoto.com/002/shared_files/uploads/2219992.jpg
17,.\birds\Greenfinch(101).jpg,Greenfinch,Chloris chloris,18,Red,http://ftp.funet.fi/index/Tree_of_life/aves/passeriformes/fringillidae/carduelis/chloris-4.jpg
10,.\birds\Chaffinch(89).jpg,Chaffinch,Fringilla coelebs,11,Green,http://www.exworld.fr/WordPress/wp-content/images/juin-2019/fringilla-coelebs.jpg
4,.\birds\Blackbird(64).jpg,Blackbird,Turdus merula,5,Green,https://img6.juzaphoto.com/001/shared_files/uploads/3849794_m.jpg
6,.\birds\Goldfinch(49).jpg,Goldfinch,Carduelis carduelis,7,Green,https://4.bp.blogspot.com/-_UcalivFZXE/WHPQwtZSxOI/AAAAAAAAFBc/FPwtrrQMt6Y9MEZwNHG2E5EapThtvSI5wCLcB/s1600/Carduelis%2Bcarduelis%2BP1080628.jpg
13,.\birds\Feral_Pigeon(28).jpg,Feral_Pigeon,Columba livia domestica,14,Green,https://live.staticflickr.com/5097/5518751464_c1bd706757.jpg
2,.\birds\Starling(90).jpg,Starling,Sturnus vulgaris,3,Red,https://www.publicdomainpictures.net/pictures/60000/nahled/bird-sturnus-vulgaris-1382279321Oja.jpg
12,.\birds\Jackdaw(126).jpg,Jackdaw,Coloeus monedula,13,Green,https://1.bp.blogspot.com/-ITwyFJ_C_pE/VuMKTXnfQkI/AAAAAAAAJPw/5xlkN6r-_P0VJsb0_4utpg0pIB8c-r6OA/s1600/P1490656.JPG
5,.\birds\Robin(134).jpg,Robin,Erithacus rubecula,6,Green,https://originalorganics.files.wordpress.com/2012/01/robin-bird.jpg
10,.\birds\Chaffinch(47).jpg,Chaffinch,Fringilla coelebs,11,Green,https://live.staticflickr.com/1557/26543774875_93f25172a5_b.jpg
3,.\birds\Wood_Pigeon(52).jpg,Wood_Pigeon,Columba palumbus,4,Amber,https://4.bp.blogspot.com/-MdRXWIk5QJA/UJgcSrVzgrI/AAAAAAAAAK4/BkUe-KmVQzw/s1600/Pagausoa+(Columba+palumbus)+(Torcaz).jpg
5,.\birds\Robin(62).jpg,Robin,Erithacus rubecula,6,Green,https://live.staticflickr.com/6125/5964732808_02d1556f34.jpg
12,.\birds\Jackdaw(79).jpg,Jackdaw,Coloeus monedula,13,Green,https://www.biosphereonline.com/wp-content/uploads/2014/02/Jackdaw_-_up_close_and_personal_552502080.jpg
0,.\birds\House_Sparrow(43).jpg,House_Sparrow,Passer domesticus,1,Red,https://www.naturephoto-cz.com/photos/birds/passer-domesticus-135048.jpg
1,.\birds\BlueTit(43).jpg,Blue_Tit,Cyanistes caeruleus,2,Green,https://www.naturephoto-cz.com/photos/birds/cyanistes-caeruleus-141284.jpg
0,.\birds\House_Sparrow(96).jpg,House_Sparrow,Passer domesticus,1,Red,https://www.natuurlijkmooi.net/images/passdome.jpg
19,.\birds\Song_Thrush(66).jpg,Song_Thrush,Turdus philomelos,20,Amber,https://focusingonwildlife.com/news/wp-content/gallery/song-thrush-turdus-philomelos/song-thrush-turdus-philomelos-3.jpg
12,.\birds\Jackdaw(100).jpg,Jackdaw,Coloeus monedula,13,Green,https://images.on-this.website/4752_668461805a72f9978749b.jpg
17,.\birds\Greenfinch(138).jpg,Greenfinch,Chloris chloris,18,Red,https://i.pinimg.com/originals/1f/2a/f9/1f2af942c192d176aea8c8ef07c82ad1.jpg
14,.\birds\Collared_Dove(85).jpg,Collared_Dove,Streptopelia decaocto,15,Green,https://www.wildernesscottages.co.uk/blog/wp-content/uploads/2011/03/Collared-Dove.jpg
4,.\birds\Blackbird(44).jpg,Blackbird,Turdus merula,5,Green,http://animal.memozee.com/ArchOLD-6/1169991420.jpg
7,.\birds\Great_Tit(136).jpg,Great_Tit,Parus major,8,Green,https://www.birdforum.net/gallery/great-tit.645327/full
8,.\birds\Magpie(8).jpg,Magpie,Pica pica,9,Green,https://antropocene.it/wp-content/uploads/2019/03/Pica_pica-800x445.jpg
10,.\birds\Chaffinch(77).jpg,Chaffinch,Fringilla coelebs,11,Green,https://live.staticflickr.com/5258/5494752900_c75b747a0f_b.jpg
1,.\birds\BlueTit(37).jpg,Blue_Tit,Cyanistes caeruleus,2,Green,https://www.naturephoto-cz.com/photos/birds/cyanistes-caeruleus-19877.jpg
3,.\birds\Wood_Pigeon(62).jpg,Wood_Pigeon,Columba palumbus,4,Amber,http://www.digiscoped.com/2005/woodpigeon1024.jpg
9,.\birds\Long_Tailed_Tit(117).jpg,Long_Tailed_Tit,Aegithalos caudatus,10,Green,https://live.staticflickr.com/65535/49103687691_efbc6a2dd6.jpg
4,.\birds\Blackbird(141).jpg,Blackbird,Turdus merula,5,Green,Camera trap
15,.\birds\Carrion_Crow(49).jpg,Carrion_Crow,Corvus corone,16,Green,http://www.britishnatureguide.com/uploads/2/5/2/8/25284597/published/dsc-0209-2-copy.jpg?1567858003
9,.\birds\Long_Tailed_Tit(25).jpg,Long_Tailed_Tit,Aegithalos caudatus,10,Green,https://i.pinimg.com/originals/c7/fe/f1/c7fef161c935d1bbe7c6e02920b5373c.jpg
8,.\birds\Magpie(24).jpg,Magpie,Pica pica,9,Green,https://www.natuurlijkmooi.net/images/picapica.jpg
3,.\birds\Wood_Pigeon(59).jpg,Wood_Pigeon,Columba palumbus,4,Amber,http://www.hlasek.com/foto/columba_palumbus_br4722.jpg
13,.\birds\Feral_Pigeon(23).jpg,Feral_Pigeon,Columba livia domestica,14,Green,http://www.tier-fotos.eu/1200/strassentaube-columba-livia-forma-domestica-14935.jpg
9,.\birds\Long_Tailed_Tit(148).jpg,Long_Tailed_Tit,Aegithalos caudatus,10,Green,https://i.pinimg.com/originals/8b/09/6f/8b096fed1929f84a8b9a66cbd2ab52f6.jpg
5,.\birds\Robin(90).jpg,Robin,Erithacus rubecula,6,Green,"http://immagini.4ever.eu/data/download/animali/uccelli/erithacus-rubecula,-uccello-160001.jpg?no-logo"
18,.\birds\Wren(63).jpg,Wren,Troglodytes troglodytes,19,Amber,https://indiabiodiversity.org/files-api/api/get/raw/observations/dd5693ae-7d99-42e0-b765-a7e5e1192dfe/280.JPG
0,.\birds\House_Sparrow(123).jpg,House_Sparrow,Passer domesticus,1,Red,https://upload.wikimedia.org/wikipedia/commons/3/32/House_Sparrow04.jpg
3,.\birds\Wood_Pigeon(114).jpg,Wood_Pigeon,Columba palumbus,4,Amber,https://i.pinimg.com/originals/25/a7/4e/25a74ed9bf2fdf48fbf842c40f331e39.jpg
1,.\birds\BlueTit(57).jpg,Blue_Tit,Cyanistes caeruleus,2,Green,https://img2.juzaphoto.com/002/shared_files/uploads_hr/2574302_large18274.jpg
18,.\birds\Wren(102).jpg,Wren,Troglodytes troglodytes,19,Amber,http://www.gardenbirdwatching.com/Wren_7065.jpg
19,.\birds\Song_Thrush(136).jpg,Song_Thrush,Turdus philomelos,20,Amber,http://www.naturephoto-cz.com/fullsize/mraz/song-thrush-86x_18a559.jpg
12,.\birds\Jackdaw(67).jpg,Jackdaw,Coloeus monedula,13,Green,https://waarnemingen.be/media/photo/025/535/25535647.jpg
12,.\birds\Jackdaw(86).jpg,Jackdaw,Coloeus monedula,13,Green,https://proshieldpest.com/wp-content/uploads/2020/11/jackdaw.jpg
7,.\birds\Great_Tit(79).jpg,Great_Tit,Parus major,8,Green,https://focusingonwildlife.com/news/wp-content/gallery/birds-of-asia/_mg_2899.jpg
16,.\birds\Coal_Tit(136).jpg,Coal_Tit,Periparus ater,17,Green,http://www.naturephoto-cz.com/photos/mraz/coal-tit-08A007.jpg
13,.\birds\Feral_Pigeon(38).jpg,Feral_Pigeon,Columba livia domestica,14,Green,https://animaldiversity.org/collections/contributors/luis_tejo/Columba_livia/large.jpg
9,.\birds\Long_Tailed_Tit(34).jpg,Long_Tailed_Tit,Aegithalos caudatus,10,Green,http://www.hlasek.com/foto/aegithalos_caudatus_br5477.jpg
3,.\birds\Wood_Pigeon(56).jpg,Wood_Pigeon,Columba palumbus,4,Amber,https://triplov.com/pimb/wildlife/aves/Columbidae/Columba-palumbus.jpg
9,.\birds\Long_Tailed_Tit(90).jpg,Long_Tailed_Tit,Aegithalos caudatus,10,Green,https://live.staticflickr.com/2047/2272636840_5a095a1f1b_b.jpg
1,.\birds\BlueTit(90).jpg,Blue_Tit,Cyanistes caeruleus,2,Green,https://thumbs.dreamstime.com/b/blue-tit-cyanistes-caeruleus-blue-tit-cyanistes-caeruleus-single-bird-water-warwickshire-october-129949167.jpg
16,.\birds\Coal_Tit(19).jpg,Coal_Tit,Periparus ater,17,Green,https://naturdata.com/images/species/15000/Periparus-ater-15743-136446967094.jpg
1,.\birds\BlueTit(3).jpg,Blue_Tit,Cyanistes caeruleus,2,Green,https://img.fotocommunity.com/cyanistes-caeruleus-994de33b-ee69-45df-84cf-518d65d50fea.jpg?height=1080
8,.\birds\Magpie(51).jpg,Magpie,Pica pica,9,Green,https://upload.wikimedia.org/wikipedia/commons/e/e7/Magpie_arp.jpg
2,.\birds\Starling(7).jpg,Starling,Sturnus vulgaris,3,Red,https://www.schoepfung.eu/fileadmin/naturfotos/5/luft/star_sturnus_vulgaris.jpg
1,.\birds\BlueTit(110).jpg,Blue_Tit,Cyanistes caeruleus,2,Green,http://www.creamygoodness.co.uk/Images/Photos/WildBirds2/BlueTit.jpg
17,.\birds\Greenfinch(149).jpg,Greenfinch,Chloris chloris,18,Red,https://i.pinimg.com/originals/9f/05/1a/9f051a32fa81552f24258c00139aecf1.jpg
10,.\birds\Chaffinch(148).jpg,Chaffinch,Fringilla coelebs,11,Green,http://www.smithsnurseries.com/image/cache/data/chaffinch-500x500.jpeg
5,.\birds\Robin(142).jpg,Robin,Erithacus rubecula,6,Green,Camera trap
17,.\birds\Greenfinch(117).jpg,Greenfinch,Chloris chloris,18,Red,https://i.pinimg.com/originals/03/13/12/031312a799c3b74725c1c15acdb9308d.jpg
18,.\birds\Wren(149).jpg,Wren,Troglodytes troglodytes,19,Amber,https://www.birdforum.net/data/xfmg/thumbnail/639/639826-ad1313be210d779ce454cc009cc6140d.jpg?1605934406
3,.\birds\Wood_Pigeon(73).jpg,Wood_Pigeon,Columba palumbus,4,Amber,https://i.shgcdn.com/6774e532-073a-4fdd-9407-5affbed93455/-/format/auto/-/preview/3000x3000/-/quality/lighter/
12,.\birds\Jackdaw(130).jpg,Jackdaw,Coloeus monedula,13,Green,http://manxbirdphotography.co.uk/Birds/Crows%26Shrikes/Jackdaw/folderthumb.jpg
2,.\birds\Starling(74).jpg,Starling,Sturnus vulgaris,3,Red,https://img.fotocommunity.com/sturnus-vulgaris-d8d9542e-ab1b-4543-9026-7c98fa552683.jpg?height=1080
10,.\birds\Chaffinch(93).jpg,Chaffinch,Fringilla coelebs,11,Green,http://www.hlasek.com/foto/fringilla_coelebs_bt4292.jpg
0,.\birds\House_Sparrow(111).jpg,House_Sparrow,Passer domesticus,1,Red,https://sandiegobirdspot.com/wp-content/gallery/house-sparrow/2011-04-22-02-06-10_0123_2.JPG
8,.\birds\Magpie(64).jpg,Magpie,Pica pica,9,Green,https://www.animalfunfacts.net/images/stories/photos/birds/passerines/magpie/magpie_facts_l.jpg
1,.\birds\BlueTit(44).jpg,Blue_Tit,Cyanistes caeruleus,2,Green,https://img2.juzaphoto.com/002/shared_files/uploads/2671801_l.jpg
0,.\birds\House_Sparrow(112).jpg,House_Sparrow,Passer domesticus,1,Red,https://www.almanac.com/sites/default/files/image_nodes/House_Sparrow_calls2-by_peripitus-wikimedia_commons.jpg
19,.\birds\Song_Thrush(44).jpg,Song_Thrush,Turdus philomelos,20,Amber,http://www.efotogaleria.pl/zdjecia/4955.jpeg
18,.\birds\Wren(150).jpg,Wren,Troglodytes troglodytes,19,Amber,https://www.naturephoto-cz.com/fullsize/mraz/wren-19x_19a388.jpg
3,.\birds\Wood_Pigeon(96).jpg,Wood_Pigeon,Columba palumbus,4,Amber,https://www.theenglishgarden.co.uk/wp-content/uploads/2020/01/Woodpigeon-feature.jpg
1,.\birds\BlueTit(99).jpg,Blue_Tit,Cyanistes caeruleus,2,Green,http://2.bp.blogspot.com/-RhXMVeekHts/VUdLaQ-evGI/AAAAAAAAJNk/ahisQsnfbPo/s1600/Blue%2Btit%2Bcyanistes%2Bcaeruleus.jpg
6,.\birds\Goldfinch(48).jpg,Goldfinch,Carduelis carduelis,7,Green,https://eunis.eea.europa.eu/images/species/944/carduelis_carduelis_mikulka.jpg
2,.\birds\Starling(19).jpg,Starling,Sturnus vulgaris,3,Red,https://img5.juzaphoto.com/001/shared_files/uploads_hr/3538258_large99464.jpg
19,.\birds\Song_Thrush(125).jpg,Song_Thrush,Turdus philomelos,20,Amber,http://ahpwild.com/wp-content/uploads/2018/10/Song-Thrush-5.jpg
10,.\birds\Chaffinch(144).jpg,Chaffinch,Fringilla coelebs,11,Green,https://1.bp.blogspot.com/-C6NlRFX4XW0/Ury0lsACt6I/AAAAAAAAMJo/dHYgR8JYc9I/s1600/chaffinch.jpg
12,.\birds\Jackdaw(33).jpg,Jackdaw,Coloeus monedula,13,Green,https://www.naturephoto-cz.com/photos/birds/coloeus-monedula-42023.jpg
16,.\birds\Coal_Tit(107).jpg,Coal_Tit,Periparus ater,17,Green,http://www.naturephoto-cz.com/fullsize/mraz/coal-tit-82x_17d207.jpg
0,.\birds\House_Sparrow(56).jpg,House_Sparrow,Passer domesticus,1,Red,https://ukrbin.com/files/med/63/IMG_6573.jpg
16,.\birds\Coal_Tit(26).jpg,Coal_Tit,Periparus ater,17,Green,http://www.naturephoto-cz.com/photos/birds/periparus-ater-3077.jpg
17,.\birds\Greenfinch(81).jpg,Greenfinch,Chloris chloris,18,Red,https://live.staticflickr.com/65535/49859785038_828f3ef05b.jpg
10,.\birds\Chaffinch(6).jpg,Chaffinch,Fringilla coelebs,11,Green,https://focusingonwildlife.com/news/wp-content/gallery/birds-of-europe/chaffinch_03.jpg
2,.\birds\Starling(68).jpg,Starling,Sturnus vulgaris,3,Red,https://www.biyologlar.com/images/articles/large/sturnus-vulgaris---sigircik.jpg
7,.\birds\Great_Tit(4).jpg,Great_Tit,Parus major,8,Green,http://www.tf79.ch/nature/photos/parus-major002.jpg
3,.\birds\Wood_Pigeon(69).jpg,Wood_Pigeon,Columba palumbus,4,Amber,http://www.naseptactvo.cz/fotogalerie/mekkozobi/holub-hrivnac-columba-palumbus_3785.jpg
4,.\birds\Blackbird(115).jpg,Blackbird,Turdus merula,5,Green,http://www.wildsong.co.uk/wp-content/uploads/2020/06/20080502_107_blackbird_1200.jpg
9,.\birds\Long_Tailed_Tit(108).jpg,Long_Tailed_Tit,Aegithalos caudatus,10,Green,https://i.pinimg.com/originals/2d/0c/dc/2d0cdc34354c762860e2a2ad1233aba9.jpg
19,.\birds\Song_Thrush(35).jpg,Song_Thrush,Turdus philomelos,20,Amber,https://www.viva.fct.unl.pt/sites/www.viva.fct.unl.pt/files/imagens/aves/turdus_philomelos_fotos_em_visualhunt/turdus_philomelos_by_derek.p._on_visualhunt.com_cc_by-nc-nd.jpg
5,.\birds\Robin(38).jpg,Robin,Erithacus rubecula,6,Green,https://live.staticflickr.com/65535/50002186741_eaa93ac8d3.jpg
8,.\birds\Magpie(54).jpg,Magpie,Pica pica,9,Green,http://www.gardenbirdwatching.com/Magpie_7729.jpg
16,.\birds\Coal_Tit(122).jpg,Coal_Tit,Periparus ater,17,Green,https://live.staticflickr.com/65535/49338898162_6bea4a6182.jpg
5,.\birds\Robin(111).jpg,Robin,Erithacus rubecula,6,Green,https://images6.alphacoders.com/455/455630.jpg
10,.\birds\Chaffinch(126).jpg,Chaffinch,Fringilla coelebs,11,Green,http://www.naturephoto-cz.com/fullsize/birds/chaffinch-157493.jpg
10,.\birds\Chaffinch(5).jpg,Chaffinch,Fringilla coelebs,11,Green,https://images.freeimages.com/images/large-previews/98e/fringilla-coelebs-1625209.jpg
5,.\birds\Robin(148).jpg,Robin,Erithacus rubecula,6,Green,Camera trap
13,.\birds\Feral_Pigeon(35).jpg,Feral_Pigeon,Columba livia domestica,14,Green,https://birdier.com/bird-img/gallery-navigation/columba-livia-5d066db78a46e.jpg
14,.\birds\Collared_Dove(90).jpg,Collared_Dove,Streptopelia decaocto,15,Green,http://www.naturephoto-cz.com/fullsize/birds/collared-dove-237508.jpg
3,.\birds\Wood_Pigeon(116).jpg,Wood_Pigeon,Columba palumbus,4,Amber,https://live.staticflickr.com/833/42661395974_2e1cd3afda_b.jpg
14,.\birds\Collared_Dove(41).jpg,Collared_Dove,Streptopelia decaocto,15,Green,http://www.uknature.co.uk/birds/S.decaocto.jpg
15,.\birds\Carrion_Crow(1).jpg,Carrion_Crow,Corvus corone,16,Green,http://antropocene.it/wp-content/uploads/2019/07/Corvus_corone-800x445.jpg
18,.\birds\Wren(132).jpg,Wren,Troglodytes troglodytes,19,Amber,https://www.birdforum.net/gallery/wren.664505/full
8,.\birds\Magpie(58).jpg,Magpie,Pica pica,9,Green,https://www.animal.photos/bird/corv-mag_files/magpie1.jpg
10,.\birds\Chaffinch(38).jpg,Chaffinch,Fringilla coelebs,11,Green,https://img2.juzaphoto.com/002/shared_files/uploads/2721162.jpg
10,.\birds\Chaffinch(101).jpg,Chaffinch,Fringilla coelebs,11,Green,https://3.bp.blogspot.com/-3UZxPz3FQds/UUS-u_oQ18I/AAAAAAAAE1s/coTpPug_VCA/s1600/Chaffinch.jpg
13,.\birds\Feral_Pigeon(93).jpg,Feral_Pigeon,Columba livia domestica,14,Green,http://2.bp.blogspot.com/-lPY_T9oueJQ/Uft8jisvKzI/AAAAAAAACzc/i593ceyyaF0/s1600/Feral_Pigeon1.jpg
14,.\birds\Collared_Dove(91).jpg,Collared_Dove,Streptopelia decaocto,15,Green,http://1.bp.blogspot.com/_M80xopAUphM/S9V_cUV88SI/AAAAAAAAA30/GprAwWr10l4/w1200-h630-p-k-no-nu/Collared+Dove+-+JL.jpg
8,.\birds\Magpie(49).jpg,Magpie,Pica pica,9,Green,https://upload.wikimedia.org/wikipedia/commons/f/fd/Magpie_in_Madrid_(Spain)_08.jpg
